key,chosen_impact,title,relevance
OH-HB1-Y2019,Safety,"Modify intervention in lieu of conviction/sealing requirements. ","(NLU)'Criminal law' => 'None', 'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Conviction' => 'None', 'Felony' => 'None'"
OH-HB10-Y2019,Healthcare,"Establish Governor-s Office of Drug Policy. ","(NLU)'Drug addiction' => 'Healthcare', 'United States Senate Committee on Finance' => 'None', 'Appropriation' => 'None', 'Senate' => 'None', 'Addiction' => 'Healthcare'"
OH-HB100-Y2019,Environment,"Revise requirements governing abandoned mineral rights. ","(NLU)'Natural gas' => 'Environment', 'Person' => 'None', 'Subject' => 'None', 'Abandonment' => 'Safety', 'Legal terms' => 'None'"
OH-HB101-Y2019,None,"Conduct presidential primary elections in May. ","(NLU)'Elections' => 'None', 'Primary election' => 'None', 'Voting system' => 'None', 'General election' => 'None', 'United States presidential primary' => 'None'"
OH-HB102-Y2020,Healthcare,"Regards Medicaid coverage of chiropractic services. ","(NLU)'Health care' => 'Healthcare', 'Medicaid' => 'Healthcare', 'Managed care' => 'Healthcare', 'Health care in the United States' => 'Healthcare', 'United States' => 'Location'"
OH-HB103-Y2019,Jobs,"Change law relating to land installment contracts. ","(NLU)'Construction' => 'Jobs', 'Real estate' => 'None', 'Building' => 'None', 'Building code' => 'None', 'Building officials' => 'None'"
OH-HB104-Y2020,Environment,"Enact Advanced Nuclear Technology Helping Energize Mankind Act. ","(NLU)'Radioactive waste' => 'Environment', 'Nuclear power' => 'Environment', 'United States Department of Energy' => 'Environment', 'Nuclear Regulatory Commission' => 'Environment', 'United States' => 'Location'"
OH-HB105-Y2019,Transportation,"Enhance penalty for failing to stop for school bus. ","(NLU)'School bus' => 'Transportation', 'Bus' => 'Transportation', 'Vehicle' => 'Transportation', 'Tram' => 'Transportation', 'Trolleybus' => 'Transportation'"
OH-HB106-Y2019,Transportation,"Revise law-instruction permits and probationary driver licenses. ","(NLU)'Vehicle' => 'Transportation', 'Motorized bicycle' => 'Transportation', 'Automobile' => 'Transportation', 'Vehicles' => 'Transportation', 'Motorcycle' => 'Unknown'"
OH-HB107-Y2019,Jobs,"Create _Zero_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Non-profit organization' => 'Jobs', 'Charitable organization' => 'None', 'Internal Revenue Code' => 'Jobs'"
OH-HB108-Y2019,Healthcare,"Designate Arthrogryposis Multiplex Congenita Awareness Day. ","(NLU)'Arthrogryposis' => 'Healthcare', 'Legislatures' => 'None', 'Legislature' => 'None', 'United States House of Representatives' => 'None', 'Ohio' => 'Location'"
OH-HB109-Y2019,Jobs,"Grant tax exemption for land used for commercial maple syruping. ","(NLU)'Tax' => 'None', 'Taxation in the United States' => 'None', 'Tax exemption' => 'None', 'Agriculture' => 'Jobs', 'Tax refund' => 'None'"
OH-HB11-Y2020,Healthcare,"Regards tobacco cessation and prenatal initiatives. ","(NLU)'Health care' => 'Healthcare', 'Managed care' => 'Healthcare', 'Medicaid' => 'Healthcare', 'Public health' => 'Healthcare', 'Smoking cessation' => 'Healthcare'"
OH-HB110-Y2019,Transportation,"Display fuel tax rates on service station fuel pumps. ","(NLU)'Gasoline' => 'Transportation', 'Diesel fuel' => 'Transportation', 'Fuel tax' => 'Transportation', 'Taxation' => 'None', 'Petroleum' => 'Environment'"
OH-HB111-Y2020,None,"Transmit transfer student records within five school days. ","(NLU)'High school' => 'Education', 'School district' => 'Education', 'Secondary education' => 'Education', 'School types' => 'Education', 'High school diploma' => 'Education'"
OH-HB112-Y2019,None,"Permit vendors to receive sales tax refund for certain bad debts. ","(NLU)'Tax refund' => 'None', 'Tax' => 'None', 'Debt' => 'None', 'Taxation in the United States' => 'None', 'Accounts receivable' => 'Unknown'"
OH-HB113-Y2019,Transportation,"Prohibit towing service from employing spotters. ","(NLU)'Property' => 'None', 'Vehicle' => 'Transportation', 'Property law' => 'None', 'Ownership' => 'None', 'Automobile' => 'Transportation'"
OH-HB114-Y2019,Jobs,"Remove restriction on earned income tax credit; make refundable. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Tax refund' => 'None', 'Earned Income Tax Credit' => 'Jobs', 'Income tax in the United States' => 'Jobs'"
