key,chosen_impact,title,summary,relevance
OH-HB1-Y2019,Safety,"Modify intervention in lieu of conviction/sealing requirements. ","To amend sections of the Revised Code to modify the requirements for intervention in lieu of conviction and for sealing records of conviction. ","(NLU)'Criminal law' => 'None', 'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Conviction' => 'None', 'Felony' => 'None'"
OH-HB10-Y2019,Healthcare,"Establish Governor-s Office of Drug Policy. ","To enact section of the Revised Code to establish the Governor-s Office of Drug Policy and to make an appropriation. ","(NLU)'Drug addiction' => 'Healthcare', 'United States Senate Committee on Finance' => 'None', 'Appropriation' => 'None', 'Senate' => 'None', 'Addiction' => 'Healthcare'"
OH-HB100-Y2019,Environment,"Revise requirements governing abandoned mineral rights. ","To amend section of the Revised Code to revise the requirements governing abandoned mineral rights. ","(NLU)'Natural gas' => 'Environment', 'Person' => 'None', 'Subject' => 'None', 'Abandonment' => 'Safety', 'Legal terms' => 'None'"
OH-HB101-Y2019,None,"Conduct presidential primary elections in May. ","To amend sections of the Revised Code to require presidential primary elections to be held on the first Tuesday after the first Monday in May. ","(NLU)'Elections' => 'None', 'Primary election' => 'None', 'Voting system' => 'None', 'General election' => 'None', 'United States presidential primary' => 'None'"
OH-HB102-Y2020,Healthcare,"Regards Medicaid coverage of chiropractic services. ","To amend section and to enact sections of the Revised Code regarding Medicaid coverage of chiropractic services. ","(NLU)'Health care' => 'Healthcare', 'Medicaid' => 'Healthcare', 'Managed care' => 'Healthcare', 'Health care in the United States' => 'Healthcare', 'United States' => 'Location'"
OH-HB103-Y2019,Jobs,"Change law relating to land installment contracts. ","To amend sections and to enact sections of the Revised Code to make changes to the law relating to land installment contracts. ","(NLU)'Construction' => 'Jobs', 'Real estate' => 'None', 'Building' => 'None', 'Building code' => 'None', 'Building officials' => 'None'"
OH-HB104-Y2020,Environment,"Enact Advanced Nuclear Technology Helping Energize Mankind Act. ","To amend section and to enact sections of the Revised Code to enact the Advanced Nuclear Technology Helping Energize Mankind (ANTHEM) Act by establishing the Ohio Nuclear Development Authority. ","(NLU)'Radioactive waste' => 'Environment', 'Nuclear power' => 'Environment', 'United States Department of Energy' => 'Environment', 'Nuclear Regulatory Commission' => 'Environment', 'United States' => 'Location'"
OH-HB105-Y2019,Transportation,"Enhance penalty for failing to stop for school bus. ","To amend sections of the Revised Code to enhance the penalty for failing to stop for a school bus that is picking up or dropping off school children when the offender has a prior violation within a five-year period. ","(NLU)'School bus' => 'Transportation', 'Bus' => 'Transportation', 'Vehicle' => 'Transportation', 'Tram' => 'Transportation', 'Trolleybus' => 'Transportation'"
OH-HB106-Y2019,Transportation,"Revise law-instruction permits and probationary driver licenses. ","To amend sections of the Revised Code to revise the minimum age at which a minor may obtain a probationary driver-s license and to make other changes to the laws governing the issuance and possession of a temporary instruction permit and probationary driver-s license. ","(NLU)'Vehicle' => 'Transportation', 'Motorized bicycle' => 'Transportation', 'Automobile' => 'Transportation', 'Vehicles' => 'Transportation', 'Motorcycle' => 'Unknown'"
OH-HB107-Y2019,Jobs,"Create _Zero_ license plate. ","To amend section and to enact section of the Revised Code to create the _Zero_ license plate to benefit the nonprofit Zero, the End of Prostate Cancer. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Non-profit organization' => 'Jobs', 'Charitable organization' => 'None', 'Internal Revenue Code' => 'Jobs'"
OH-HB108-Y2019,Healthcare,"Designate Arthrogryposis Multiplex Congenita Awareness Day. ","To enact section of the Revised Code to designate June 30 as _Arthrogryposis Multiplex Congenita Awareness Day._. ","(NLU)'Arthrogryposis' => 'Healthcare', 'Legislatures' => 'None', 'Legislature' => 'None', 'United States House of Representatives' => 'None', 'Ohio' => 'Location'"
OH-HB109-Y2019,Jobs,"Grant tax exemption for land used for commercial maple syruping. ","To amend sections and to enact section of the Revised Code to authorize a property tax exemption for land used for commercial maple sap extraction. ","(NLU)'Tax' => 'None', 'Taxation in the United States' => 'None', 'Tax exemption' => 'None', 'Agriculture' => 'Jobs', 'Tax refund' => 'None'"
OH-HB11-Y2020,Healthcare,"Regards tobacco cessation and prenatal initiatives. ","To amend ; to amend, for the purpose of adopting a new section number as indicated in parentheses, ; and to enact new sectionsof the Revised Code; and to amend Section of H.B. 166 of the 133rd General Assembly to address tobacco cessation and prenatal initiatives and to make an appropriation. ","(NLU)'Health care' => 'Healthcare', 'Managed care' => 'Healthcare', 'Medicaid' => 'Healthcare', 'Public health' => 'Healthcare', 'Smoking cessation' => 'Healthcare'"
OH-HB110-Y2019,Transportation,"Display fuel tax rates on service station fuel pumps. ","To enact section of the Revised Code to enact the _Fuel Tax Transparency Act_ requiring notices to be placed on retail service station pumps displaying state and federal fuel tax rates. ","(NLU)'Gasoline' => 'Transportation', 'Diesel fuel' => 'Transportation', 'Fuel tax' => 'Transportation', 'Taxation' => 'None', 'Petroleum' => 'Environment'"
OH-HB111-Y2020,None,"Transmit transfer student records within five school days. ","To amend sections and to enact section of the Revised Code to require that public and private schools transmit a transferred student-s records within five school days. ","(NLU)'High school' => 'Education', 'School district' => 'Education', 'Secondary education' => 'Education', 'School types' => 'Education', 'High school diploma' => 'Education'"
