city,city_ascii,state_id,state_name,county_name,population
Birmingham,Birmingham,AL,Alabama,Jefferson,739573
Huntsville,Huntsville,AL,Alabama,Madison,319249
Mobile,Mobile,AL,Alabama,Mobile,315502
Montgomery,Montgomery,AL,Alabama,Montgomery,254634
Tuscaloosa,Tuscaloosa,AL,Alabama,Tuscaloosa,155499
Auburn,Auburn,AL,Alabama,Lee,92777
Hoover,Hoover,AL,Alabama,Jefferson,85768
Florence,Florence,AL,Alabama,Lauderdale,79964
Anniston,Anniston,AL,Alabama,Calhoun,73501
Dothan,Dothan,AL,Alabama,Houston,72396
Anchorage,Anchorage,AK,Alaska,Anchorage,247949
Fairbanks,Fairbanks,AK,Alaska,Fairbanks North Star,63245
Juneau,Juneau,AK,Alaska,Juneau,25085
Badger,Badger,AK,Alaska,Fairbanks North Star,18792
Knik-Fairview,Knik-Fairview,AK,Alaska,Matanuska-Susitna,17513
College,College,AK,Alaska,Fairbanks North Star,13709
Wasilla,Wasilla,AK,Alaska,Matanuska-Susitna,10838
Ketchikan,Ketchikan,AK,Alaska,Ketchikan Gateway,10652
Tanaina,Tanaina,AK,Alaska,Matanuska-Susitna,10520
Kodiak,Kodiak,AK,Alaska,Kodiak Island,8851
Phoenix,Phoenix,AZ,Arizona,Maricopa,4219697
Tucson,Tucson,AZ,Arizona,Pima,888486
Mesa,Mesa,AZ,Arizona,Maricopa,518012
Chandler,Chandler,AZ,Arizona,Maricopa,261165
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,258069
Gilbert,Gilbert,AZ,Arizona,Maricopa,254114
Glendale,Glendale,AZ,Arizona,Maricopa,252381
Avondale,Avondale,AZ,Arizona,Maricopa,227289
Tempe,Tempe,AZ,Arizona,Maricopa,195805
Peoria,Peoria,AZ,Arizona,Maricopa,175961
Little Rock,Little Rock,AR,Arkansas,Pulaski,439815
Fayetteville,Fayetteville,AR,Arkansas,Washington,351246
Fort Smith,Fort Smith,AR,Arkansas,Sebastian,125354
Springdale,Springdale,AR,Arkansas,Washington,81125
Jonesboro,Jonesboro,AR,Arkansas,Craighead,76247
Conway,Conway,AR,Arkansas,Faulkner,74951
Rogers,Rogers,AR,Arkansas,Benton,68669
North Little Rock,North Little Rock,AR,Arkansas,Pulaski,65903
Hot Springs,Hot Springs,AR,Arkansas,Garland,60767
Bentonville,Bentonville,AR,Arkansas,Benton,54909
Los Angeles,Los Angeles,CA,California,Los Angeles,12750807
San Francisco,San Francisco,CA,California,San Francisco,3592294
San Diego,San Diego,CA,California,San Diego,3220118
Riverside,Riverside,CA,California,Riverside,2107852
Sacramento,Sacramento,CA,California,Sacramento,1898019
San Jose,San Jose,CA,California,Santa Clara,1798103
Fresno,Fresno,CA,California,Fresno,703498
Concord,Concord,CA,California,Contra Costa,652308
Mission Viejo,Mission Viejo,CA,California,Orange,590249
Bakersfield,Bakersfield,CA,California,Kern,579295
Denver,Denver,CO,Colorado,Denver,2876625
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,642413
Aurora,Aurora,CO,Colorado,Adams,379289
Fort Collins,Fort Collins,CO,Colorado,Larimer,312666
Lakewood,Lakewood,CO,Colorado,Jefferson,157935
Pueblo,Pueblo,CO,Colorado,Pueblo,143932
Thornton,Thornton,CO,Colorado,Adams,141464
Grand Junction,Grand Junction,CO,Colorado,Mesa,139143
Greeley,Greeley,CO,Colorado,Weld,137810
Boulder,Boulder,CO,Colorado,Boulder,124345
Bridgeport,Bridgeport,CT,Connecticut,Fairfield,924449
Hartford,Hartford,CT,Connecticut,Hartford,905152
New Haven,New Haven,CT,Connecticut,New Haven,564830
Norwich,Norwich,CT,Connecticut,New London,200289
Waterbury,Waterbury,CT,Connecticut,New Haven,189614
Danbury,Danbury,CT,Connecticut,Fairfield,176030
Stamford,Stamford,CT,Connecticut,Fairfield,129638
Norwalk,Norwalk,CT,Connecticut,Fairfield,88816
New Britain,New Britain,CT,Connecticut,Hartford,72495
West Hartford,West Hartford,CT,Connecticut,Hartford,63127
Dover,Dover,DE,Delaware,Kent,117282
Wilmington,Wilmington,DE,Delaware,New Castle,70166
Middletown,Middletown,DE,Delaware,New Castle,35695
