city,city_ascii,state_id,state_name,county_name,population,state_hierarchy,county_hierarchy,city_hierarchy
Birmingham,Birmingham,AL,Alabama,Jefferson,739573,world.usa.alabama,world.usa.alabama.jefferson,world.usa.alabama.jefferson.birmingham
Huntsville,Huntsville,AL,Alabama,Madison,319249,world.usa.alabama,world.usa.alabama.madison,world.usa.alabama.madison.huntsville
Mobile,Mobile,AL,Alabama,Mobile,315502,world.usa.alabama,world.usa.alabama.mobile,world.usa.alabama.mobile.mobile
Montgomery,Montgomery,AL,Alabama,Montgomery,254634,world.usa.alabama,world.usa.alabama.montgomery,world.usa.alabama.montgomery.montgomery
Tuscaloosa,Tuscaloosa,AL,Alabama,Tuscaloosa,155499,world.usa.alabama,world.usa.alabama.tuscaloosa,world.usa.alabama.tuscaloosa.tuscaloosa
Auburn,Auburn,AL,Alabama,Lee,92777,world.usa.alabama,world.usa.alabama.lee,world.usa.alabama.lee.auburn
Hoover,Hoover,AL,Alabama,Jefferson,85768,world.usa.alabama,world.usa.alabama.jefferson,world.usa.alabama.jefferson.hoover
Florence,Florence,AL,Alabama,Lauderdale,79964,world.usa.alabama,world.usa.alabama.lauderdale,world.usa.alabama.lauderdale.florence
Anniston,Anniston,AL,Alabama,Calhoun,73501,world.usa.alabama,world.usa.alabama.calhoun,world.usa.alabama.calhoun.anniston
Dothan,Dothan,AL,Alabama,Houston,72396,world.usa.alabama,world.usa.alabama.houston,world.usa.alabama.houston.dothan
Anchorage,Anchorage,AK,Alaska,Anchorage,247949,world.usa.alaska,world.usa.alaska.anchorage,world.usa.alaska.anchorage.anchorage
Fairbanks,Fairbanks,AK,Alaska,Fairbanks North Star,63245,world.usa.alaska,world.usa.alaska.fairbanks north star,world.usa.alaska.fairbanks north star.fairbanks
Juneau,Juneau,AK,Alaska,Juneau,25085,world.usa.alaska,world.usa.alaska.juneau,world.usa.alaska.juneau.juneau
Badger,Badger,AK,Alaska,Fairbanks North Star,18792,world.usa.alaska,world.usa.alaska.fairbanks north star,world.usa.alaska.fairbanks north star.badger
Knik-Fairview,Knik-Fairview,AK,Alaska,Matanuska-Susitna,17513,world.usa.alaska,world.usa.alaska.matanuska-susitna,world.usa.alaska.matanuska-susitna.knik-fairview
College,College,AK,Alaska,Fairbanks North Star,13709,world.usa.alaska,world.usa.alaska.fairbanks north star,world.usa.alaska.fairbanks north star.college
Wasilla,Wasilla,AK,Alaska,Matanuska-Susitna,10838,world.usa.alaska,world.usa.alaska.matanuska-susitna,world.usa.alaska.matanuska-susitna.wasilla
